,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
82,10453,169694,79793.0,30.7,25470.0,12616.0,32478.0,40.70281854297996,9090.0,70703
83,10454,308047,38089.0,29.3,20232.0,11561.0,17503.0,45.95289978734018,12422.0,25667
84,10455,314802,38576.0,28.7,22609.0,12231.0,14725.0,38.171401907922025,6959.0,31617
85,10456,324429,87723.0,30.3,23452.0,12486.0,34727.0,39.587109423982305,9083.0,78640
86,10457,591888,70282.0,29.0,24949.0,12952.0,27579.0,39.240488318488374,10368.0,59914
87,10458,480373,74859.0,29.2,24618.0,14488.0,27406.0,36.61016043495104,15602.0,59257
88,10459,133864,47977.0,28.6,24461.0,12436.0,19146.0,39.90662192300477,6338.0,41639
89,10460,203482,56084.0,30.0,22307.0,12828.0,22608.0,40.31096212823622,7381.0,48703
90,10461,890633,51730.0,38.2,52347.0,26630.0,7727.0,14.93717378697081,26179.0,25551
91,10462,544071,77369.0,35.3,45864.0,21836.0,15758.0,20.367330584601067,17838.0,59531
92,10463,360791,70420.0,38.8,54258.0,30875.0,11878.0,16.867367225220107,31256.0,39164
93,10464,36567,4248.0,48.7,70078.0,39454.0,266.0,6.261770244821093,3431.0,817
94,10465,488768,44862.0,40.1,65450.0,29953.0,6171.0,13.75551691855022,28667.0,16195
95,10466,217359,70609.0,35.9,44012.0,19925.0,14429.0,20.4350720163152,5393.0,65216
96,10467,0,98754.0,32.4,36048.0,18137.0,26803.0,27.141179091479838,18431.0,80323
97,10468,263776,71822.0,32.0,33776.0,15537.0,22075.0,30.73570772186795,9472.0,62350
98,10469,273820,71843.0,36.2,57776.0,22960.0,9246.0,12.86972982754061,14154.0,57689
99,10470,92425,14850.0,36.2,58600.0,28734.0,1696.0,11.42087542087542,6987.0,7863
100,10471,332034,22030.0,43.6,71798.0,43630.0,1726.0,7.834770767135724,15985.0,6045
101,10472,122562,68898.0,30.4,30288.0,14652.0,24273.0,35.230340503352785,10306.0,58592
102,10473,226691,58660.0,36.1,35866.0,19561.0,15513.0,26.44561882032049,13158.0,45502
103,10474,747925,12519.0,29.1,25676.0,11410.0,4803.0,38.36568416007668,3882.0,8637
104,10475,342618,43231.0,46.5,43629.0,25870.0,4850.0,11.218801323124609,7762.0,35469
105,11004,127655,14500.0,40.9,81709.0,35334.0,986.0,6.8,6502.0,7998
106,11005,12898,2055.0,81.1,64300.0,76670.0,65.0,3.1630170316301705,2040.0,15
107,11101,4458380,25537.0,34.0,47142.0,30040.0,4952.0,19.391471198652933,12895.0,12642
108,11102,275705,34529.0,32.3,49924.0,28108.0,5926.0,17.162385241391295,19500.0,15029
109,11103,263420,37745.0,34.9,55129.0,31345.0,5383.0,14.26149158828984,29151.0,8594
110,11104,253302,25729.0,37.3,56059.0,31953.0,3031.0,11.780481169108787,16051.0,9678
111,11105,574552,36190.0,35.3,57525.0,33537.0,4899.0,13.536888643271622,28393.0,7797
112,11106,400600,36869.0,36.5,48720.0,30809.0,8413.0,22.818628115761207,22414.0,14455
113,11109,10862,3524.0,31.6,125871.0,90065.0,223.0,6.328036322360953,2572.0,952
114,11201,2822830,54668.0,35.2,95369.0,68814.0,7470.0,13.66430087071047,36282.0,18386
115,11203,951615,79572.0,38.3,48400.0,22227.0,12330.0,15.495400392097723,3330.0,76242
116,11204,335711,80963.0,33.6,45472.0,20161.0,17137.0,21.166458752763607,54758.0,26205
117,11205,549410,43002.0,29.3,44688.0,26114.0,14835.0,34.49839542346868,20397.0,22605
118,11206,579255,81525.0,28.5,28559.0,15618.0,30086.0,36.90401717264643,36402.0,45123
119,11207,415337,92491.0,30.7,32945.0,15951.0,29752.0,32.167454130672176,13237.0,79254
120,11208,338143,93107.0,30.5,35079.0,14870.0,31384.0,33.7074548637589,30749.0,62358
121,11209,581674,72623.0,39.0,58261.0,35712.0,10558.0,14.538093992261405,56006.0,16617
122,11210,294558,65302.0,34.9,55429.0,25079.0,9449.0,14.469694649474748,21815.0,43487
123,11211,936134,93271.0,29.7,46848.0,27752.0,30997.0,33.23326650298592,76995.0,16276
124,11212,434784,84520.0,31.9,28348.0,16535.0,28856.0,34.14103170847137,3798.0,80722
125,11213,231269,62059.0,32.8,34794.0,18522.0,17481.0,28.168355919367055,12476.0,49583
126,11214,385761,83156.0,40.0,43398.0,22683.0,14823.0,17.825532733657223,47418.0,35738
127,11215,899230,68891.0,34.5,95654.0,56340.0,6165.0,8.94891930731155,51037.0,17854
128,11216,129143,53783.0,34.8,43996.0,27218.0,12297.0,22.864102039677967,8506.0,45277
129,11217,619524,38787.0,34.9,81862.0,51846.0,5539.0,14.28055791889035,21270.0,17517
130,11218,387069,74758.0,32.7,52445.0,24081.0,17177.0,22.976805157976404,42734.0,32024
131,11219,1277698,96971.0,28.1,34316.0,14567.0,33901.0,34.9599364758536,63152.0,33819
132,11220,1020497,103089.0,32.4,37580.0,16263.0,31719.0,30.768559206122866,32593.0,70496
133,11221,137786,81321.0,31.6,39178.0,18774.0,22161.0,27.251263511270153,24197.0,57124
134,11222,724674,34186.0,33.7,63739.0,39515.0,4610.0,13.485052360615457,28702.0,5484
135,11223,467952,74606.0,38.7,41328.0,22514.0,12537.0,16.804278476261963,49576.0,25030
136,11224,196315,42535.0,47.3,27481.0,20666.0,12174.0,28.6211355354414,24893.0,17642
137,11225,111462,59182.0,33.8,42922.0,22519.0,13137.0,22.19762765705789,10515.0,48667
138,11226,250441,98325.0,33.8,40734.0,20721.0,20891.0,21.246885329265194,9400.0,88925
139,11228,174467,43929.0,40.2,61893.0,29885.0,4527.0,10.305265314484737,30147.0,13782
140,11229,462303,81030.0,40.8,51725.0,26575.0,12220.0,15.08083425891645,58609.0,22421
141,11230,596622,84219.0,34.7,42170.0,23051.0,18096.0,21.48683788693763,60304.0,23915
142,11231,426238,34137.0,35.3,78174.0,48757.0,5547.0,16.249231039634413,22018.0,12119
143,11232,611670,28824.0,31.6,43595.0,19172.0,7268.0,25.21509852900361,11563.0,17261
144,11233,125294,68599.0,33.4,34492.0,19859.0,21467.0,31.2934590883249,2999.0,65600
145,11234,682477,94259.0,38.4,68431.0,29482.0,8954.0,9.499358151476251,43550.0,50709
146,11235,632948,74630.0,44.5,41639.0,28133.0,15281.0,20.4756800214391,60641.0,13989
147,11236,408149,97217.0,37.1,61061.0,24394.0,12756.0,13.121161936698314,6354.0,90863
148,11237,451080,55478.0,29.1,40372.0,17134.0,18127.0,32.67421320162948,22386.0,33092
149,11238,280763,51895.0,34.5,65315.0,40055.0,7630.0,14.702765198959437,21480.0,30415
150,11239,94286,12879.0,43.4,26275.0,18494.0,4039.0,31.3611305225561,4541.0,8338
151,11351,0,0.0,,,,0.0,,0.0,0
152,11354,1023112,56258.0,43.2,46566.0,23925.0,10308.0,18.322727434320452,14911.0,41347
153,11355,850787,83221.0,40.9,41884.0,20505.0,17158.0,20.61739224474592,13802.0,69419
154,11356,470178,23037.0,37.2,58465.0,25815.0,2322.0,10.079437426748274,9176.0,13861
155,11357,292786,40872.0,43.9,71978.0,34218.0,1785.0,4.367293012331181,31264.0,9608
156,11358,190981,38317.0,41.9,65722.0,30403.0,3993.0,10.420961975102434,17845.0,20472
157,11359,5306,0.0,,,,0.0,,0.0,0
158,11360,112043,19865.0,48.2,76183.0,42810.0,1165.0,5.864585955197584,12987.0,6878
159,11361,353314,30597.0,40.3,75335.0,32438.0,2752.0,8.994345850900416,16364.0,14233
160,11362,101536,17865.0,45.0,82332.0,38441.0,1477.0,8.267562272600056,9627.0,8238
161,11363,34100,7354.0,43.1,90799.0,44661.0,295.0,4.011422355180854,4190.0,3164
162,11364,81501,34751.0,42.9,72909.0,33820.0,3106.0,8.937872291444851,15421.0,19330
163,11365,310908,41924.0,41.7,55492.0,26786.0,6346.0,15.136914416563306,15768.0,26156
164,11366,100649,13499.0,41.4,71350.0,30027.0,1804.0,13.363952885398918,6726.0,6773
165,11367,135740,41022.0,34.9,56608.0,26475.0,6248.0,15.230851738091756,23192.0,17830
166,11368,496933,107962.0,31.5,45964.0,16191.0,25950.0,24.03623497156407,49195.0,58767
167,11369,185126,40761.0,33.5,53617.0,20000.0,6894.0,16.913225877677192,9803.0,30958
168,11370,340743,37244.0,34.9,52500.0,17873.0,4508.0,12.103963054451723,13392.0,23852
169,11371,0,0.0,,,,0.0,,0.0,0
170,11372,281349,63320.0,38.2,48683.0,24955.0,12764.0,20.157927984838913,38957.0,24363
171,11373,638280,99159.0,36.2,47667.0,21084.0,20144.0,20.314847870591677,39477.0,59682
172,11374,385146,42297.0,40.6,52532.0,34268.0,5193.0,12.277466486984892,27472.0,14825
173,11375,793188,69757.0,42.1,72000.0,44278.0,5737.0,8.224264231546655,45420.0,24337
174,11377,656272,86316.0,35.8,49886.0,24058.0,13257.0,15.358682051994995,40489.0,45827
175,11378,815333,32268.0,38.9,57474.0,28290.0,3414.0,10.580141316474526,25357.0,6911
176,11379,153161,35822.0,43.4,69843.0,33111.0,2881.0,8.042543688236279,30905.0,4917
177,11385,569986,99379.0,35.0,50799.0,23272.0,17921.0,18.032984835830508,81293.0,18086
178,11411,34530,18722.0,44.3,83099.0,32156.0,824.0,4.4012391838478795,608.0,18114
179,11412,46424,37176.0,39.1,70672.0,25315.0,3303.0,8.884764364105875,858.0,36318
180,11413,201910,40385.0,39.0,78667.0,28502.0,2853.0,7.064504147579547,1258.0,39127
181,11414,91356,28094.0,45.1,66790.0,34143.0,2170.0,7.724069196269666,23657.0,4437
182,11415,142028,19145.0,36.9,63549.0,35653.0,1678.0,8.764690519717941,11518.0,7627
183,11416,340229,25950.0,33.4,56724.0,20726.0,3819.0,14.716763005780347,6844.0,19106
184,11417,109585,31004.0,35.8,62086.0,24299.0,4475.0,14.433621468197652,12408.0,18596
185,11418,551009,36828.0,34.1,60691.0,22641.0,5076.0,13.782991202346041,14172.0,22656
186,11419,90374,49193.0,36.4,56735.0,19296.0,8215.0,16.699530420994858,5849.0,43344
187,11420,129056,48449.0,36.5,59832.0,22841.0,4759.0,9.822700158930008,8051.0,40398
188,11421,63200,42588.0,34.2,60897.0,23016.0,6634.0,15.577157884850193,19059.0,23529
189,11422,86679,33280.0,35.0,84824.0,29440.0,2159.0,6.4873798076923075,2491.0,30789
190,11423,103772,31625.0,39.8,60892.0,26690.0,3469.0,10.969169960474309,5094.0,26531
191,11424,1183,0.0,,,,0.0,,0.0,0
192,11425,135,0.0,,,,0.0,,0.0,0
193,11426,57303,19575.0,39.8,82301.0,31501.0,1616.0,8.255427841634738,9424.0,10151
194,11427,0,24877.0,39.9,70108.0,28716.0,2598.0,10.443381436668409,6775.0,18102
195,11428,68384,20307.0,39.4,69330.0,24002.0,1966.0,9.681390653469247,4389.0,15918
196,11429,99723,28311.0,39.9,68890.0,24113.0,3541.0,12.507505916428244,1791.0,26520
197,11430,1622171,140.0,42.2,,8092.0,116.0,82.85714285714286,18.0,122
198,11432,549826,61687.0,36.0,50450.0,21897.0,12924.0,20.95092969345243,14033.0,47654
199,11433,171202,32821.0,32.4,42887.0,19142.0,7891.0,24.042533743639744,1346.0,31475
200,11434,472236,62809.0,36.4,59229.0,24121.0,7325.0,11.662341384196532,1895.0,60914
201,11435,286138,53542.0,35.5,53041.0,23252.0,9463.0,17.673975570580104,12597.0,40945
202,11436,26568,17636.0,36.6,62114.0,23264.0,2133.0,12.094579269675663,932.0,16704
203,11451,1339,0.0,,,,0.0,,0.0,0
204,11691,318880,61091.0,31.2,39409.0,18796.0,15282.0,25.015141346515854,22411.0,38680
205,11692,49564,17674.0,35.4,43354.0,21603.0,4116.0,23.288446305307232,4594.0,13080
206,11693,36078,11335.0,39.1,50570.0,25149.0,2431.0,21.446846052051168,6357.0,4978
207,11694,76652,21725.0,43.7,76944.0,36601.0,1439.0,6.623705408515535,18505.0,3220
208,11697,0,4223.0,50.3,87636.0,41282.0,93.0,2.202225905754203,4175.0,48
